"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Безопасность","0","SQL-injection","6","0","","0"
"0","Авторизация и аутентификация","0","Страница Логин","24","0","","0"
"0","Статичные элементы","0","Панель временного интервала","27","0","","0"
"1","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","14","0","","0"
"4","Модуль Схема","2","Окно Данные измерений","3","0","","0"
"0","Авторизация и аутентификация","0","Страница Сменить пароль","33","0","","3"
"0","Модуль Журнал","0","Рабочее окно","3","0","","0"
"0","Фильтры","0","Заполняем всю форму и применяем","12","0","","0"
"0","Модуль Схема","3","Рабочая область","3","0","","0"
"0","Фильтры","0","Фильтрация по кнопкам","3","0","","0"
"0","Модуль События","0","Рабочее окно","3","0","","0"
"1","Модуль Схема","0","Окно Табличные данные","2","0","","0"
"0","Модуль Схема","0","Окно Состояние и прогнозирование","3","0","","0"
"0","Модуль Аналитика","0","Рабочее окно","3","0","","0"
