"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","Модуль Схема","0","Окно Табличные данные","15","0","","0"
"0","Модуль Схема","0","Окно Состояние и прогнозирование","6","0","","0"
"0","Модуль Схема","0","Окно Схема агрегата","3","0","","0"
"0","Авторизация и аутентификация","0","Страница Сменить пароль","33","0","","3"
"2","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","13","0","","0"
"1","Статичные элементы","0","Панель временного интервала","26","0","","0"
"0","Модуль Схема","0","Окно Данные измерений","3","0","","0"
"12","Модуль Схема","2","Данные измерений","22","0","","0"
"0","Авторизация и аутентификация","0","Страница Логин","24","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"1","Модуль Схема","0","Рабочая область","2","0","","0"
